alpha,n_iterations,n_reps,labeling,value
0.05,10,10,[ 14 37 9 39 11 7 2 34 4 21 22 17 32 5 12 31 24 28 16 33 13 20 38 35 25 23 19 15 10 6 26 1 29 3 18 30 8 27 36 ],4
0.05,10,10,[ 18 2 16 21 20 22 34 17 19 36 6 1 13 4 32 25 31 27 23 33 35 30 38 28 24 9 12 37 10 8 29 15 39 3 26 11 7 5 14 ],4
0.05,10,10,[ 18 2 16 21 20 22 34 17 19 36 6 1 13 4 32 25 31 27 23 33 35 30 38 28 24 9 12 37 10 8 29 15 39 3 26 11 7 5 14 ],4
0.05,10,10,[ 18 2 16 21 20 22 34 17 19 36 6 1 13 4 32 25 31 27 23 33 35 30 38 28 24 9 12 37 10 8 29 15 39 3 26 11 7 5 14 ],4
0.05,10,10,[ 18 2 16 21 20 22 34 17 19 36 6 1 13 4 32 25 31 27 23 33 35 30 38 28 24 9 12 37 10 8 29 15 39 3 26 11 7 5 14 ],4
0.05,10,10,[ 18 2 16 21 20 22 34 17 19 36 6 1 13 4 32 25 31 27 23 33 35 30 38 28 24 9 12 37 10 8 29 15 39 3 26 11 7 5 14 ],4
0.05,10,10,[ 8 38 25 5 27 28 36 11 14 20 24 17 30 21 6 33 15 13 10 23 26 18 2 32 39 4 9 1 7 12 34 35 29 22 16 3 19 31 37 ],3
0.05,10,10,[ 8 38 25 5 27 28 36 11 14 20 24 17 30 21 6 33 15 13 10 23 26 18 2 32 39 4 9 1 7 12 34 35 29 22 16 3 19 31 37 ],3
0.05,10,10,[ 8 38 25 5 27 28 36 11 14 20 24 17 30 21 6 33 15 13 10 23 26 18 2 32 39 4 9 1 7 12 34 35 29 22 16 3 19 31 37 ],3
0.05,10,10,[ 8 38 25 5 27 28 36 11 14 20 24 17 30 21 6 33 15 13 10 23 26 18 2 32 39 4 9 1 7 12 34 35 29 22 16 3 19 31 37 ],3
